xbegin,ybegin,zbegin,xdif,ydif,zdif,number
3335,430,3308,-1898,1069,1117,2,
3311,446,3302,-1849,1070,1082,2,
3288,462,3294,-1821,1059,1051,2,
3265,478,3286,-1793,1055,1029,2,
3243,496,3276,-1778,1042,1006,2,
3221,514,3266,-1764,1035,992,2,
3200,533,3254,-1761,1019,979,2,
3180,553,3241,-1725,1018,970,2,
3160,574,3227,-1734,1007,966,2,
3139,597,3211,-1766,991,999,2,
3119,622,3192,-1785,969,1001,2,
3100,648,3172,-1810,951,1013,2,
3081,677,3149,-1840,924,1025,2,
2939,1168,2676,-1352,-84,1684,2,
2925,1206,2635,-639,-35,1720,2,
2912,1242,2594,-503,-61,1728,2,
2898,1285,2548,-427,12,1770,2,
2885,1332,2499,-344,-7,1766,2,
2873,1383,2445,-258,-23,1776,2,
2862,1439,2385,-171,-40,1796,2,
2852,1503,2318,-83,-52,1823,2,
2842,1575,2243,1,-68,1861,2,
2834,1657,2158,85,-75,1903,2,
2829,1749,2062,167,-88,1960,2,
2826,1850,1958,247,-86,2017,2,
2827,1957,1847,315,-78,2108,2,
2826,2021,1779,519,-142,1196,2,
2822,2062,1735,714,-107,590,2,
2816,2107,1689,861,35,467,2,
2809,2152,1644,899,41,349,2,
2802,2199,1597,923,33,242,2,
2795,2248,1547,967,15,124,2,
2787,2302,1493,1018,22,11,2,
2779,2365,1429,1074,21,-102,2,
2770,2442,1352,1134,20,-216,2,
2762,2541,1253,1197,20,-332,2,
2755,2674,1119,1273,38,-438,2,
2750,2846,947,1322,17,-567,2,
2706,1346,2444,12,4,309,2,
2702,1644,2146,152,3,336,2,
2700,191,0,177,4,81,2,
556,3304,3418,881,-22,-748,5,
561,3287,3397,887,-25,-669,5,
566,3270,3377,891,-17,-591,5,
571,3253,3357,900,-8,-516,5,
576,3237,3338,912,0,-442,5,
582,3222,3320,928,8,-369,5,
589,3206,3302,948,17,-298,5,
596,3191,3284,975,16,-229,5,
603,3176,3266,1003,25,-160,5,
611,3160,3248,1034,33,-91,5,
619,3145,3229,1070,43,-23,5,
629,3128,3210,1109,51,44,5,
638,3111,3190,1153,58,112,5,
649,3092,3168,1205,58,178,5,
660,3072,3145,1259,58,244,5,
672,3049,3120,1317,68,314,5,
684,3024,3092,1377,76,382,5,
697,2995,3059,1445,86,452,5,
710,2960,3022,1513,91,521,5,
724,2919,2977,1593,99,592,5,
738,2869,2923,1672,99,659,5,
751,2807,2858,1767,102,728,5,
762,2729,2776,1857,85,789,5,
774,2645,2687,1752,158,1054,5,
790,2588,2624,880,365,1573,5,
807,2515,2549,739,65,1795,5,
823,2410,2441,713,65,1820,5,
836,2251,2281,665,0,1926,5,
844,2031,2060,598,22,1994,5,
844,1796,1823,410,101,1963,5,
845,1675,1699,-279,138,1018,5,
848,1559,1583,-603,-36,797,5,
898,2739,2761,-12,-4,242,5,
900,3577,0,3,-4,127,5,
39,945,874,2061,155,-1732,1,
56,948,898,1940,111,-1603,1,
63,952,912,1120,136,-698,1,
67,954,923,902,62,-471,1,
71,955,932,808,30,-382,1,
73,957,941,707,15,-290,1,
74,958,948,642,1,-192,1,
75,958,955,558,-10,-90,1,
74,959,960,472,-12,8,1,
73,959,964,385,-9,107,1,
70,960,968,298,-4,206,1,
66,960,970,218,-17,308,1,
61,960,971,139,-26,414,1,
55,959,971,61,-33,519,1,
48,959,970,-17,-37,625,1,
40,958,968,-96,-38,730,1,
30,957,965,-166,-55,843,1,
20,956,961,-244,-56,953,1,
8,956,956,-326,-48,1062,1,
3597,956,948,-652,18,1034,1,
0,961,877,84,-10,33,1,
0,961,880,230,-7,-5,1,
0,961,884,371,-1,-37,1,
0,961,890,512,0,-57,1,
0,961,897,603,-3,-60,1,
3599,961,900,207,-4,-7,1,
849,3001,2702,88,0,156,5,
852,3001,2702,156,0,271,5,
857,3001,2702,224,0,387,5,
864,3001,2702,291,0,505,5,
872,3002,2703,359,0,624,5,
882,3004,2705,430,1,744,5,
894,3009,2710,500,-1,868,5,
900,299,0,262,12,402,5,
898,1355,1055,47,10,43,5,
3545,27,2578,-105,3,335,6,
3545,26,2582,-6,0,412,6,
3545,26,2588,90,0,490,6,
3547,25,2595,186,3,572,6,
3550,24,2602,281,6,653,6,
3554,24,2611,377,8,738,6,
3559,23,2621,474,9,823,6,
3565,23,2632,572,11,915,6,
