xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
223,225,3439,-3679,1449,678,0,2
179,237,3429,-3675,1447,677,1,2
138,251,3419,-3672,1446,676,2,2
97,265,3407,-3668,1444,675,3,2
56,280,3395,-3664,1443,675,4,2
15,296,3381,-3661,1441,674,5,2
3214,3407,1807,-4055,3284,-13978,0,1
3138,3582,1605,-4051,3281,-13964,1,1
3093,185,1375,-5472,2265,-13127,2,1
3113,404,1124,-5467,2263,-13114,3,1
3186,577,918,-5462,2261,-13100,4,1
3294,693,766,-5456,2259,-13087,5,1
3592,906,900,134,-9,-15664,0,1
172,906,903,134,-9,-15648,1,1
300,903,900,-323,106,-12278,2,1
441,902,896,-323,105,-12265,3,1
581,899,891,-322,105,-12253,4,1
721,889,879,-322,105,-12241,5,1
502,383,186,-1402,428,-13035,0,1
562,201,3554,-1401,427,-13022,1,1
569,3575,3280,-1400,427,-13009,2,1
545,3382,3028,79,1188,-12815,3,1
473,3236,2823,79,1187,-12802,4,1
377,3146,2672,79,1186,-12789,5,1
0,6,906,132,0,-15481,0,1
3,5,729,132,0,-15466,1,1
1,6,603,-190,-97,-12146,2,1
1,5,464,-189,-97,-12134,3,1
0,3,325,-189,-97,-12122,4,1
3598,2,186,-189,-97,-12109,5,1
604,107,2219,-903,881,-9116,0,6
598,3534,2008,-902,880,-9107,1,6
562,3385,1821,-901,880,-9097,2,6
505,3275,1673,-900,879,-9088,3,6
435,3201,1558,-899,878,-9079,4,6
358,3153,1467,-898,877,-9070,5,6
3596,2703,2700,491,-203,-16256,0,6
3410,2702,2693,490,-203,-16240,1,6
3276,2699,2696,-217,172,-13096,2,6
3126,2699,2699,-217,172,-13083,3,6
2977,2697,2704,-217,172,-13070,4,6
2827,2688,2717,-216,172,-13057,5,6
3579,2837,3244,4153,297,-2795,0,4
3571,2839,3203,3366,20,-2406,1,4
3554,2842,3159,3362,20,-2404,2,4
3537,2846,3115,3359,20,-2402,3,4
3520,2852,3070,3356,20,-2399,4,4
3504,2859,3025,3352,20,-2397,5,4
24,3532,1133,-2731,155,-14730,0,1
3573,3534,969,-2728,154,-14715,1,1
3525,3550,804,-2725,154,-14701,2,1
3518,3568,671,424,-42,-11318,3,1
3518,3586,540,423,-42,-11307,4,1
3522,4,410,423,-42,-11296,5,1
572,2863,2577,-6777,1965,-6583,0,2
475,2946,2652,-6770,1963,-6576,1,2
372,3000,2699,-6763,1961,-6570,2,2
267,3039,2729,-6756,1959,-6563,3,2
161,3069,2750,-6750,1957,-6556,4,2
54,3094,2765,-6743,1955,-6550,5,2
222,2709,2678,-2388,-28,-14510,0,5
56,2715,2702,-2385,-28,-14495,1,5
3489,2713,2725,-2383,-28,-14481,2,5
3323,2704,2751,-2380,-28,-14466,3,5
3174,2704,2737,160,84,-13509,4,5
3019,2709,2731,160,84,-13496,5,5
548,2586,2269,-5673,3928,-9988,0,1
439,2718,2383,-5667,3924,-9978,1,1
319,2804,2449,-5661,3920,-9968,2,1
192,2867,2489,-5656,3916,-9958,3,1
63,2917,2513,-5650,3912,-9948,4,1
3533,2962,2526,-5645,3908,-9938,5,1
3591,3562,2775,1651,-2,-16088,0,4
3598,3563,2590,1650,-2,-16072,1,4
3599,3561,2479,783,47,-11086,2,4
3599,3561,2352,782,47,-11075,3,4
0,3562,2225,781,47,-11064,4,4
0,3562,2098,780,47,-11053,5,4
3051,1013,3169,5657,-3885,-9982,0,2
3159,881,3283,5651,-3881,-9972,1,2
3280,796,3349,5646,-3878,-9962,2,2
3406,734,3389,5640,-3874,-9952,3,2
3535,684,3413,5635,-3870,-9942,4,2
65,639,3426,5629,-3866,-9932,5,2
3446,906,919,-2239,-402,-14532,0,5
12,904,895,-2237,-402,-14518,1,5
179,895,869,-2235,-401,-14503,2,5
293,893,876,153,178,-12077,3,5
431,896,876,152,177,-12065,4,5
569,899,878,152,177,-12053,5,5
2937,2265,100,12946,-262,-11633,0,2
2741,2476,3483,12933,-261,-11622,1,2
2862,353,2000,12920,-261,-11610,2,2
3060,386,1961,12907,-261,-11598,3,2
3224,413,1927,10074,241,-10674,4,2
