xbegin,ybegin,zbegin,xdif,ydif,zdif,number
0,357,215,-5640966,-668640,-80009918,4
4,10,357,-56438617,-3721284,-77131652,6
306,274,270,-240604858,-6295471,4608764,2
315,74,40,60487670,-6658554,-7003250,6
0,357,215,-11438263,-574645,-160007629,4
39,277,126,-64976692,-4204101,-5902481,6
63,92,90,160376205,13213806,12821578,5
328,315,296,18987731,42697753,-114976501,4
3,9,159,-67579660,1762189,-36442413,2
4,64,347,9159121,6847076,36401977,3
307,89,90,133790283,-8581924,5333633,6
287,30,88,36422729,235686149,-251922912,5
0,359,142,4308030,-5379638,-133774566,6
52,70,300,102319679,-182166938,-232233886,5
84,266,268,-9308929,26651000,27070312,5
339,138,141,195043945,-23414611,143967590,6
358,352,268,-6300964,134887,16196289,6
354,317,338,-89828796,-7970581,-20567016,5
354,258,271,-66228027,-8432006,26187438,2
283,106,346,-17539978,-97375106,99725036,2
358,352,268,-17089,236816,9804992,6
84,322,186,-14523315,-1007266845,1014998168,1
30,88,87,130377101,86341552,106046981,5
330,176,179,145565185,-90688323,-2147483648,3
0,3,177,-5418624,-1783437,-9757385,4
19,201,220,-138252544,24099578,201437988,3
273,76,106,-2720336,137789077,-137459106,2
17,34,355,-15925226,-2484550,3642272,3
0,3,176,-3324342,568003,5276031,4
12,317,93,-202554550,-4873352,-85678939,1
6,90,88,-16122016,-3543930,-42389450,3
345,240,49,-35460815,-20199737,101169586,5
359,1,288,2119171,1173000,-80176696,3
356,266,324,-28805236,-6718750,79204711,1
18,271,270,-160343704,-2443237,-4800415,6
330,341,139,4134826,52868041,-115046539,6
359,1,288,6750160,2584645,-240499267,1
322,57,283,104058532,58787498,-143056945,5
321,89,89,79579162,-5873718,12058563,5
12,213,343,-39911699,29030914,68556518,1
0,0,155,-1621077,-487390,-101750946,3
343,349,163,220437793,-96450500,-164863128,3
294,89,90,102835693,4867782,-5871887,5
352,302,199,82578897,31045532,393435668,1
358,356,158,-36911315,-15719604,-83406829,3
356,325,222,48106188,9718627,-318682861,4
86,93,92,-91032638,-1804624938,-1805821075,5
15,299,35,-268868217,7467651,-176241531,3
0,321,6,-43349962,46291503,-139485454,3
67,184,183,-35789451,342371215,385500335,1
79,51,89,-230377922,-1417298126,-1489712524,6
35,302,256,-45919761,-252380,-1530761,2
0,321,5,-66996541,67685241,-287195053,2
317,15,335,10691223,49197435,-63891296,5
281,81,97,204766235,35999984,-35555496,1
342,206,32,77905578,16591491,91892051,4
359,4,119,11431257,-3106338,-320610580,3
2,139,26,51659545,3809204,44079952,5
331,94,89,80149841,-1900253,3502960,6
345,306,237,-116903381,12315368,-40130310,5
359,4,118,9033384,-2112751,-240449066,6
12,49,308,-28001174,-31078491,-149353637,1
6,266,270,-80095138,-209350,3892211,2
53,167,324,31147804,-2147483648,273091125,2
0,359,81,2769989,3270874,-110475540,6
337,297,330,-28370056,13542175,4945983,2
20,89,89,297891921,-5465164,-10262908,6
354,50,59,159570379,-7022209,-49259300,4
359,0,51,4965613,988854,-80055351,3
15,324,124,-66395454,-4247131,-45756378,6
352,270,269,-16016235,-481872,-1508789,6
349,288,359,3843994,156250,-384826,3
0,359,358,-10085865,3373413,-105170593,4
326,338,198,-8527221,111962280,193994445,4
88,277,277,-148267593,-79606323,-78982543,1
354,36,2,61836028,-4081993,-50756330,5
359,359,6,-9704284,3608398,-135854406,4
308,336,68,-251322631,936757431,-1076129455,1
302,270,270,-160413513,976867,-2321166,5
27,130,281,63352699,-30349884,-18330993,5
0,2,76,9637975,-2175657,-229527587,1
356,329,354,60736570,752868,69806413,3
20,92,90,399700126,25763626,44390792,1
71,38,4,82699737,-758275299,-793868331,5
359,2,90,11025688,-3306262,-144314498,1
355,311,81,-292034606,-60156250,169168090,6
8,267,269,-414278793,-12014770,21034851,1
19,359,160,-31840410,-546875,-42189025,3
1,2,121,13833742,-10257683,-159909057,4
11,105,23,5598106,-171022262,239817123,5
