xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3367,567,658,-2933,519,-10844,79,1
3455,605,560,-2930,519,-10833,80,1
3549,626,470,-2927,518,-10822,81,1
44,633,384,-2924,518,-10811,82,1
139,624,297,-2921,517,-10801,83,1
232,600,203,-2918,517,-10790,84,1
319,557,97,-2915,516,-10779,85,1
397,489,3572,-2912,516,-10768,86,1
459,391,3419,-2909,515,-10757,87,1
498,262,3238,-2906,515,-10747,88,1
506,114,3038,-2904,514,-10736,89,1
482,3572,2845,-2901,514,-10725,90,1
431,3458,2678,-2898,513,-10714,91,1
360,3376,2540,-2895,513,-10704,92,1
267,3360,2489,-5178,122,-8087,93,1
174,3337,2426,-5172,122,-8079,94,1
79,3326,2369,-5167,122,-8071,95,1
3584,3324,2314,-5162,122,-8062,96,1
3489,3332,2258,-5157,122,-8054,97,1
3396,3349,2199,-5152,122,-8046,98,1
2969,2755,2692,-444,-82,-5761,79,1
2903,2757,2689,-444,-82,-5755,80,1
2837,2762,2683,-444,-82,-5749,81,1
2771,2777,2666,-443,-82,-5744,82,1
2706,3134,2308,-443,-81,-5738,83,1
2760,904,937,-442,-81,-5732,84,1
2826,924,916,-442,-81,-5726,85,1
2892,930,909,-441,-81,-5721,86,1
2958,932,905,-441,-81,-5715,87,1
3023,934,903,-440,-81,-5709,88,1
3089,934,901,-440,-81,-5703,89,1
3154,934,899,-440,-81,-5698,90,1
3220,934,898,-439,-81,-5692,91,1
3285,934,896,-439,-81,-5686,92,1
3350,934,895,-438,-81,-5681,93,1
3416,933,894,-438,-81,-5675,94,1
3481,933,893,-437,-80,-5669,95,1
3546,932,891,-437,-80,-5664,96,1
11,931,890,-437,-80,-5658,97,1
76,930,889,-436,-80,-5652,98,1
271,637,472,-1895,1007,-9025,79,1
352,608,394,-1893,1006,-9016,80,1
429,560,301,-1891,1005,-9007,81,1
498,487,184,-1889,1004,-8998,82,1
553,381,37,-1887,1003,-8989,83,1
588,238,3453,-1885,1002,-8980,84,1
595,73,3248,-1883,1001,-8971,85,1
572,3516,3051,-1881,1000,-8962,86,1
525,3393,2887,-1880,999,-8953,87,1
462,3306,2758,-1878,998,-8944,88,1
389,3248,2656,-1876,997,-8935,89,1
310,3211,2572,-1874,996,-8926,90,1
228,3190,2500,-1872,995,-8917,91,1
145,3180,2434,-1870,994,-8908,92,1
60,3180,2371,-1868,993,-8899,93,1
3577,3190,2309,-1866,992,-8890,94,1
3495,3208,2245,-1865,991,-8881,95,1
3416,3237,2175,-1863,990,-8872,96,1
3341,3278,2098,-1861,989,-8864,97,1
3272,3333,2008,-1859,988,-8855,98,1
4,3,2370,803,128,-4853,79,1
14,3,2315,802,127,-4848,80,1
23,3,2259,801,127,-4843,81,1
33,1,2204,801,127,-4838,82,1
42,3599,2148,800,127,-4833,83,1
51,3596,2093,799,127,-4828,84,1
59,3592,2037,798,127,-4823,85,1
68,3588,1982,797,127,-4819,86,1
75,3582,1926,797,127,-4814,87,1
83,3576,1870,796,126,-4809,88,1
89,3569,1814,795,126,-4804,89,1
95,3561,1758,794,126,-4799,90,1
100,3553,1701,793,126,-4795,91,1
104,3544,1645,793,126,-4790,92,1
107,3535,1588,792,126,-4785,93,1
98,3534,1547,-437,486,-3586,94,1
87,3533,1508,-521,496,-3513,95,1
77,3533,1468,-521,495,-3509,96,1
66,3534,1428,-520,495,-3506,97,1
56,3535,1389,-520,494,-3502,98,1
3521,844,3231,-1805,97,-3437,79,6
3558,848,3206,-1803,97,-3434,80,6
3596,850,3182,-1801,97,-3430,81,6
33,850,3158,-1799,97,-3427,82,6
49,848,3132,-2167,10,-1998,83,6
67,846,3106,-2165,10,-1996,84,6
87,842,3079,-2162,10,-1994,85,6
107,838,3051,-2160,10,-1992,86,6
127,832,3023,-2158,10,-1990,87,6
147,825,2995,-2156,10,-1988,88,6
166,818,2967,-2154,10,-1986,89,6
185,809,2938,-2152,10,-1984,90,6
203,799,2908,-2149,10,-1983,91,6
221,788,2877,-2147,10,-1981,92,6
237,778,2848,-2035,103,-1805,93,6
251,766,2817,-2158,78,-1789,94,6
265,752,2783,-2234,57,-1796,95,6
278,737,2749,-2298,35,-1813,96,6
290,720,2712,-2368,11,-1837,97,6
298,705,2688,-1541,-141,-1170,98,6
684,1004,956,-326,-22,-6941,79,6
757,1008,963,-992,-250,-6341,80,6
830,1024,982,-991,-250,-6335,81,6
894,2348,2310,-990,-250,-6329,82,6
822,2757,2721,-989,-250,-6322,83,6
812,2759,2723,172,-74,-2990,84,6
785,2742,2706,172,-74,-2987,85,6
751,2724,2688,172,-74,-2984,86,6
717,2713,2677,171,-74,-2982,87,6
683,2705,2670,171,-74,-2979,88,6
649,2699,2665,171,-74,-2976,89,6
615,2695,2661,171,-74,-2973,90,6
581,2691,2658,171,-74,-2970,91,6
550,2692,2659,-25,-28,-2728,92,6
522,2694,2661,-65,90,-2380,93,6
499,2698,2663,-119,177,-2049,94,6
477,2702,2666,-184,108,-1960,95,6
454,2705,2670,-258,7,-1939,96,6
432,2709,2675,-332,1,-1937,97,6
410,2712,2681,-404,-11,-1938,98,6
3599,46,2539,-491,91,-5190,79,1
3598,46,2485,-490,90,-5185,80,1
3598,47,2425,-490,90,-5180,81,1
3597,48,2366,-489,90,-5175,82,1
3597,50,2306,-489,90,-5170,83,1
3596,51,2247,-488,90,-5164,84,1
3596,52,2188,-488,90,-5159,85,1
3596,54,2128,-487,90,-5154,86,1
3596,55,2069,-487,90,-5149,87,1
3596,57,2010,-486,90,-5144,88,1
3597,58,1951,-486,90,-5139,89,1
3597,59,1892,-485,90,-5133,90,1
3598,60,1832,-485,89,-5128,91,1
3599,62,1774,-484,89,-5123,92,1
0,63,1715,-484,89,-5118,93,1
1,64,1656,-483,89,-5113,94,1
2,64,1597,-483,89,-5108,95,1
3,65,1538,-482,89,-5103,96,1
4,66,1480,-482,89,-5098,97,1
