xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2722,3282,509,-9,-20,-1164,63,2
2718,63,127,-125,-6,-1220,64,2
2715,331,3459,-470,-2,-508,65,2
2700,191,0,-15,-1,-12,74,2
10,3386,1326,-53,-8,-843,226,1
5,3386,1317,-142,-8,-884,227,1
3126,903,910,-514,-233,-9514,49,1
3235,905,903,-513,-232,-9504,50,1
3344,905,898,-513,-232,-9495,51,1
3452,904,892,-512,-232,-9485,52,1
3561,902,887,-512,-232,-9476,53,1
69,899,881,-511,-231,-9466,54,1
178,895,875,-511,-231,-9457,55,1
286,890,867,-510,-231,-9447,56,1
394,881,857,-510,-231,-9438,57,1
502,868,842,-509,-230,-9428,58,1
609,845,818,-509,-230,-9419,59,1
715,795,767,-508,-230,-9410,60,1
816,620,590,-508,-230,-9400,61,1
843,3230,3198,-507,-230,-9391,62,1
749,2897,2864,-507,-229,-9381,63,1
644,2828,2793,-506,-229,-9372,64,1
538,2799,2763,-506,-229,-9363,65,1
431,2784,2746,-505,-229,-9353,66,1
324,2774,2734,-505,-228,-9344,67,1
218,2767,2726,-504,-228,-9335,68,1
111,2763,2719,-504,-228,-9325,69,1
4,2760,2713,-503,-228,-9316,70,1
3497,2757,2708,-503,-228,-9307,71,1
3433,2754,2703,-448,-82,-5801,72,1
3367,2754,2702,-447,-82,-5796,73,1
3301,2753,2701,-447,-82,-5790,74,1
3234,2753,2699,-446,-82,-5784,75,1
3168,2753,2698,-446,-82,-5778,76,1
3101,2753,2697,-445,-82,-5772,77,1
3035,2754,2695,-445,-82,-5767,78,1
2969,2755,2692,-444,-82,-5761,79,1
2903,2757,2689,-444,-82,-5755,80,1
2837,2762,2683,-444,-82,-5749,81,1
2771,2777,2666,-443,-82,-5744,82,1
2706,3134,2308,-443,-81,-5738,83,1
2760,904,937,-442,-81,-5732,84,1
2826,924,916,-442,-81,-5726,85,1
2892,930,909,-441,-81,-5721,86,1
2958,932,905,-441,-81,-5715,87,1
3023,934,903,-440,-81,-5709,88,1
3089,934,901,-440,-81,-5703,89,1
3154,934,899,-440,-81,-5698,90,1
3220,934,898,-439,-81,-5692,91,1
3285,934,896,-439,-81,-5686,92,1
3350,934,895,-438,-81,-5681,93,1
3416,933,894,-438,-81,-5675,94,1
3481,933,893,-437,-80,-5669,95,1
3546,932,891,-437,-80,-5664,96,1
11,931,890,-437,-80,-5658,97,1
76,930,889,-436,-80,-5652,98,1
229,935,909,-316,-3,-979,109,1
240,933,905,-407,-13,-916,110,1
250,931,900,-377,-9,-842,111,1
258,930,898,-169,-35,-745,112,1
266,930,898,-33,-16,-675,113,1
297,930,900,-21,-3,-306,119,1
300,930,899,-16,-1,-251,120,1
3598,929,899,-13,-9,-555,165,1
1,929,899,-47,-17,-156,166,1
3082,440,876,-576,-15,-1864,169,1
3091,458,852,-342,-30,-1495,170,1
3101,474,831,-274,-24,-1400,171,1
3110,488,813,-234,-21,-1328,172,1
3119,500,796,-188,-25,-1245,173,1
3129,510,782,-142,-25,-1176,174,1
3138,519,769,-94,-27,-1104,175,1
3147,527,758,-48,-27,-1040,176,1
3156,533,748,-1,-27,-980,177,1
1,6,603,-190,-97,-12146,2,1
1,5,464,-189,-97,-12134,3,1
0,3,325,-189,-97,-12122,4,1
3598,2,186,-189,-97,-12109,5,1
3597,2,47,-189,-97,-12097,6,1
3595,2,3509,-189,-96,-12085,7,1
3593,2,3371,-189,-96,-12073,8,1
3592,2,3232,-188,-96,-12061,9,1
3590,3,3094,-188,-96,-12049,10,1
3589,5,2956,-188,-96,-12037,11,1
3589,6,2818,-188,-96,-12025,12,1
3588,8,2681,-188,-96,-12013,13,1
3588,9,2543,-187,-96,-12001,14,1
3588,11,2406,-187,-96,-11989,15,1
3589,12,2268,-187,-96,-11977,16,1
3590,14,2131,-187,-95,-11965,17,1
3592,14,1994,-187,-95,-11953,18,1
3593,15,1857,-186,-95,-11941,19,1
3595,15,1721,-186,-95,-11929,20,1
3596,15,1584,-186,-95,-11917,21,1
3598,15,1448,-186,-95,-11905,22,1
3599,14,1311,-186,-95,-11893,23,1
0,13,1175,-186,-95,-11881,24,1
1,11,1039,-185,-95,-11869,25,1
2,10,903,-185,-95,-11858,26,1
2,8,768,-185,-94,-11846,27,1
1,6,632,-185,-94,-11834,28,1
1,5,496,-185,-94,-11822,29,1
0,4,361,-184,-94,-11810,30,1
3599,3,226,-184,-94,-11798,31,1
3597,2,91,-184,-94,-11787,32,1
3596,2,3556,-184,-94,-11775,33,1
3594,2,3421,-184,-94,-11763,34,1
3592,2,3286,-184,-94,-11751,35,1
3591,3,3152,-183,-94,-11740,36,1
3590,4,3017,-183,-94,-11728,37,1
3589,5,2883,-183,-93,-11716,38,1
3588,7,2749,-183,-93,-11704,39,1
3588,8,2615,-183,-93,-11693,40,1
3588,10,2481,-182,-93,-11681,41,1
3589,11,2347,-182,-93,-11669,42,1
3590,13,2214,-182,-93,-11658,43,1
3591,14,2080,-182,-93,-11646,44,1
3592,15,1947,-182,-93,-11634,45,1
3594,15,1814,-181,-93,-11623,46,1
3595,15,1680,-181,-93,-11611,47,1
3597,15,1547,-181,-93,-11599,48,1
6,3561,766,-77,-1,-892,118,1
0,3561,749,-194,-10,-710,120,1
3599,3561,742,-67,-39,-546,121,1
298,705,2688,-1541,-141,-1170,98,6
301,697,2670,-1088,-1,-749,99,6
312,663,2605,-692,-2,-423,104,6
3374,2693,2699,-336,-23,-7138,51,6
3292,2690,2704,-335,-23,-7131,52,6
3211,2686,2711,-335,-23,-7124,53,6
3129,2680,2719,-335,-23,-7116,54,6
3048,2671,2731,-334,-23,-7109,55,6
2967,2655,2748,-334,-23,-7102,56,6
2887,2626,2780,-334,-23,-7095,57,6
2807,2553,2855,-333,-23,-7088,58,6
2738,2169,3241,-333,-23,-7081,59,6
2767,1212,601,-333,-23,-7074,60,6
2843,1056,758,-332,-23,-7067,61,6
2923,1011,805,-332,-23,-7060,62,6
3003,990,829,-332,-23,-7053,63,6
3084,977,843,-331,-23,-7046,64,6
3164,970,853,-331,-23,-7039,65,6
3245,965,860,-331,-23,-7032,66,6
3325,961,866,-330,-23,-7024,67,6
3405,959,871,-330,-23,-7017,68,6
3486,958,876,-330,-23,-7010,69,6
3566,957,880,-329,-23,-7003,70,6
46,957,885,-329,-22,-6996,71,6
126,957,889,-329,-22,-6989,72,6
206,958,894,-328,-22,-6982,73,6
286,960,899,-328,-22,-6975,74,6
366,963,904,-328,-22,-6968,75,6
446,967,911,-327,-22,-6962,76,6
525,974,921,-327,-22,-6955,77,6
605,985,934,-327,-22,-6948,78,6
684,1004,956,-326,-22,-6941,79,6
757,1008,963,-992,-250,-6341,80,6
830,1024,982,-991,-250,-6335,81,6
894,2348,2310,-990,-250,-6329,82,6
822,2757,2721,-989,-250,-6322,83,6
550,2692,2659,-25,-28,-2728,92,6
410,2712,2681,-404,-11,-1938,98,6
387,2716,2687,-479,-4,-1956,99,6
364,2720,2694,-553,-16,-1968,100,6
214,2724,2699,-48,-3,-2351,106,6
186,2724,2699,-94,-7,-2432,107,6
157,2724,2699,-118,-3,-2520,108,6
3571,2724,2700,-23,-19,-889,115,6
3555,2724,2700,-27,-3,-625,117,6
3550,2724,2700,-21,-4,-490,118,6
3546,2724,2700,-19,-4,-354,119,6
3543,2724,2700,-12,-3,-219,120,6
3542,2724,2700,-7,-4,-87,121,6
9,65,902,-988,-38,-4831,107,1
3594,65,878,-1523,-23,-1900,108,1
3590,63,865,-521,-75,-1104,109,1
3588,63,854,-353,-73,-997,110,1
3586,62,843,-282,-45,-928,111,1
3585,62,833,-178,-41,-855,112,1
3586,62,824,-82,-36,-792,113,1
3488,3345,2694,-2595,-31,-913,51,2
3456,3344,2697,-2593,-31,-912,52,2
3425,3343,2701,-2590,-31,-911,53,2
3396,3341,2704,-2390,-52,-847,54,2
3369,3340,2707,-2204,-12,-831,55,2
3343,3339,2709,-2103,-14,-865,56,2
3318,3338,2710,-2015,-13,-901,57,2
3293,3338,2710,-1937,-3,-938,58,2
3269,3338,2709,-1866,-10,-982,59,2
3222,3341,2704,-1748,-8,-1084,61,2
3108,3344,2699,-1813,-2,-821,66,2
2728,1521,923,-819,-21,-367,83,2
2737,1539,906,-709,-10,-289,84,2
2744,1544,900,-582,-10,-254,85,2
2750,1545,900,-451,-7,-211,86,2
2754,1544,900,-326,-4,-158,87,2
222,2709,2678,-2388,-28,-14510,0,5
56,2715,2702,-2385,-28,-14495,1,5
3489,2713,2725,-2383,-28,-14481,2,5
3323,2704,2751,-2380,-28,-14466,3,5
129,825,983,-790,-71,-2288,121,5
152,821,968,-904,-73,-2190,122,5
175,816,954,-907,-67,-2177,123,5
197,811,938,-947,-45,-2132,124,5
219,804,922,-1005,-37,-2111,125,5
241,797,905,-1073,-15,-2100,126,5
259,791,894,-483,-67,-1693,127,5
275,789,888,-225,-12,-1467,128,5
291,786,882,-137,-6,-1399,129,5
306,784,878,-61,-7,-1340,130,5
900,3498,0,-2,-3,-18,180,5
2821,781,1700,-6024,-38,-4594,78,1
2825,957,1509,-3773,-362,-565,79,1
2835,1124,1335,-3641,-179,-299,80,1
2859,1254,1199,-3638,-179,-299,81,1
2888,1347,1099,-3634,-178,-299,82,1
2922,1413,1027,-3630,-178,-298,83,1
2957,1460,973,-3627,-178,-298,84,1
2994,1494,932,-3623,-178,-298,85,1
3032,1521,899,-3619,-178,-297,86,1
3071,1541,872,-3616,-178,-297,87,1
3109,1557,849,-3612,-177,-297,88,1
3144,1560,839,-2956,-258,-733,89,1
3178,1563,832,-2916,-209,-756,90,1
