xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2939,1168,2676,-1352,-84,1684,36,2
2925,1206,2635,-639,-35,1720,37,2
2912,1242,2594,-503,-61,1728,38,2
2885,1332,2499,-344,-7,1766,40,2
2873,1383,2445,-258,-23,1776,41,2
2862,1439,2385,-171,-40,1796,42,2
2852,1503,2318,-83,-52,1823,43,2
2710,1001,2790,-639,-2,4,67,2
2709,1196,2594,-212,-7,209,68,2
0,3387,902,-212,-5,451,265,1
65,461,900,-190,-3,179,222,1
60,461,899,-281,-4,273,223,1
47,460,899,-453,-3,470,225,1
38,460,899,-543,-5,567,226,1
27,460,899,-638,-7,665,227,1
15,460,899,-733,-12,763,228,1
2,460,899,-763,-1,799,229,1
0,3561,731,-13,-1,156,128,1
0,3560,758,-47,-1,659,133,1
0,3560,766,-53,-3,764,134,1
0,3561,800,-74,-1,1098,137,1
0,3561,865,-108,-4,1593,141,1
0,3560,900,-101,-22,1348,143,1
3599,3560,916,-42,-12,498,145,1
0,3560,899,-1,-2,39,156,1
189,715,2710,-81,-22,1445,132,6
155,717,2715,-286,-10,1512,134,6
117,717,2717,-488,-2,1603,136,6
30,717,2710,-894,-5,1864,140,6
3594,717,2701,-702,-8,776,142,6
3543,2724,2700,-2,-2,45,122,6
1,63,796,-16,-1,46,120,1
0,62,798,-23,-11,167,121,1
3598,62,902,-61,-14,503,132,1
880,2599,2700,-16,-3,67,172,5
882,2602,2704,-43,-3,207,173,5
886,2606,2708,-66,-2,348,174,5
0,3570,1712,-45,-1,847,115,4
0,3570,1749,-62,-4,1220,118,4
0,3570,1782,-76,-7,1486,120,4
3599,3570,1811,-65,-14,1109,122,4
2840,244,20,-631,-9,348,134,2
2831,246,18,-741,-8,293,135,2
2821,253,11,-857,-4,237,136,2
2810,262,2,-959,-2,307,137,2
2797,266,3598,-1050,-10,461,138,2
559,2617,2700,-62,-1,431,172,5
591,2617,2699,-94,-2,646,177,5
599,2617,2700,-102,-1,696,178,5
608,2617,2700,-109,-1,749,179,5
617,2617,2700,-117,-1,804,180,5
627,2617,2700,-125,-3,863,181,5
638,2617,2700,-135,-1,925,182,5
649,2617,2700,-144,-2,991,183,5
661,2616,2700,-155,-3,1060,184,5
675,2616,2700,-166,-2,1134,185,5
689,2616,2700,-176,-3,1211,186,5
704,2616,2700,-189,-4,1294,187,5
720,2616,2700,-202,-4,1381,188,5
737,2616,2700,-216,-4,1474,189,5
755,2616,2700,-230,-5,1570,190,5
