xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
0.061962,0.062517,0.955543,0.427671,0.474617,0.914445,1,2.000000
0.049736,0.065852,0.952765,0.427809,0.474446,0.914412,1,2.000000
0.038344,0.069742,0.949986,0.427912,0.474361,0.914378,1,2.000000
0.026952,0.073632,0.946652,0.428050,0.474191,0.914344,1,2.000000
0.015560,0.077799,0.943318,0.428188,0.474106,0.914344,1,2.000000
0.004168,0.082245,0.939428,0.428291,0.473935,0.914311,1,2.000000
0.993331,0.086691,0.935260,0.428429,0.473850,0.914277,1,2.000000
0.982495,0.091692,0.931092,0.428567,0.473765,0.914277,1,2.000000
0.971659,0.096971,0.926091,0.428670,0.473595,0.914243,1,2.000000
0.964435,0.100861,0.925813,0.478587,0.439949,0.933057,1,2.000000
0.956932,0.103918,0.925257,0.478690,0.439864,0.933024,1,2.000000
0.949153,0.107808,0.923868,0.478759,0.439779,0.932956,1,2.000000
0.941095,0.111420,0.922478,0.478828,0.439693,0.932923,1,2.000000
0.933315,0.115588,0.920811,0.478897,0.439608,0.932889,1,2.000000
0.926646,0.119478,0.919144,0.488984,0.442249,0.929220,1,2.000000
0.919978,0.123923,0.917477,0.490671,0.442334,0.928043,1,2.000000
0.913587,0.128369,0.915254,0.491635,0.441397,0.926999,1,2.000000
0.907196,0.132815,0.913031,0.492598,0.441056,0.926259,1,2.000000
0.901084,0.137816,0.910253,0.493115,0.439949,0.925485,1,2.000000
0.894971,0.142817,0.907474,0.493597,0.439353,0.925013,1,2.000000
0.889136,0.148097,0.904140,0.493700,0.437990,0.924576,1,2.000000
0.883579,0.153654,0.900528,0.494939,0.437905,0.924273,1,2.000000
0.878022,0.159489,0.896638,0.494630,0.436968,0.924138,1,2.000000
0.872187,0.165879,0.892192,0.493528,0.435605,0.925249,1,2.000000
0.866630,0.172826,0.886913,0.492874,0.433731,0.925316,1,2.000000
0.861350,0.180050,0.881356,0.492013,0.432198,0.925720,1,2.000000
0.856071,0.188108,0.874965,0.490980,0.429898,0.926124,1,2.000000
0.850792,0.196721,0.867463,0.489707,0.428024,0.926865,1,2.000000
0.845513,0.206446,0.859128,0.488330,0.425383,0.927538,1,2.000000
0.840789,0.217005,0.849680,0.486677,0.423083,0.928682,1,2.000000
0.836066,0.228952,0.838844,0.484853,0.420528,0.929894,1,2.000000
0.831620,0.242012,0.826341,0.482890,0.417717,0.931307,1,2.000000
0.827730,0.257016,0.812170,0.480790,0.414566,0.932956,1,2.000000
0.824396,0.273409,0.796054,0.478656,0.410903,0.934942,1,2.000000
0.821617,0.291470,0.778272,0.476487,0.407496,0.937803,1,2.000000
0.819672,0.311475,0.758544,0.474215,0.403492,0.940866,1,2.000000
0.816616,0.324535,0.743540,0.507780,0.344037,0.948304,1,2.000000
0.812726,0.335093,0.732148,0.532326,0.348211,0.949515,1,2.000000
0.809114,0.345096,0.720756,0.537008,0.345997,0.949785,1,2.000000
0.805224,0.357044,0.707974,0.539624,0.352215,0.951198,1,2.000000
0.801612,0.370103,0.694360,0.542481,0.350596,0.951064,1,2.000000
0.798277,0.384273,0.679355,0.545442,0.349233,0.951400,1,2.000000
0.795221,0.399833,0.662684,0.548437,0.347785,0.952073,1,2.000000
0.792442,0.417616,0.644068,0.551467,0.346763,0.952982,1,2.000000
0.789664,0.437622,0.623229,0.554358,0.345400,0.954261,1,2.000000
0.787441,0.460406,0.599611,0.557250,0.344804,0.955674,1,2.000000
0.786052,0.485968,0.572937,0.560073,0.343697,0.957593,1,2.000000
0.785218,0.514032,0.544040,0.562827,0.343867,0.959511,1,2.000000
0.785496,0.543762,0.513198,0.565168,0.344549,0.962574,1,2.000000
0.785218,0.561545,0.494304,0.572191,0.339097,0.931879,1,2.000000
0.784107,0.572937,0.482078,0.578904,0.342078,0.911484,1,2.000000
0.782440,0.585440,0.469297,0.583964,0.354174,0.907344,1,2.000000
0.780495,0.597944,0.456794,0.585273,0.354685,0.903372,1,2.000000
0.778550,0.611003,0.443734,0.586099,0.354003,0.899771,1,2.000000
0.776605,0.624618,0.429842,0.587614,0.352470,0.895800,1,2.000000
0.774382,0.639622,0.414837,0.589369,0.353066,0.891997,1,2.000000
0.772159,0.657127,0.397055,0.591297,0.352981,0.888193,1,2.000000
0.769658,0.678522,0.375660,0.593363,0.352896,0.884356,1,2.000000
0.767435,0.706029,0.348152,0.595532,0.352896,0.880452,1,2.000000
0.765490,0.742984,0.310920,0.598148,0.354429,0.876885,1,2.000000
0.764101,0.790775,0.263129,0.599835,0.352641,0.872543,1,2.000000
0.761878,0.822451,0.231175,0.570952,0.348552,0.860225,1,2.000000
0.759100,0.855238,0.198111,0.557939,0.346763,0.854402,1,2.000000
0.756321,0.911920,0.141428,0.554014,0.349489,0.852450,1,2.000000
0.755210,0.017505,0.035288,0.550021,0.350681,0.850565,1,2.000000
0.754376,0.091970,0.961100,0.538144,0.351022,0.874529,1,2.000000
0.753265,0.170603,0.882467,0.532704,0.351448,0.885837,1,2.000000
0.752987,0.278133,0.775215,0.532326,0.351022,0.891761,1,2.000000
0.752709,0.332315,0.720756,0.547026,0.350596,0.898660,1,2.000000
0.751876,0.373993,0.679078,0.554737,0.351533,0.902026,1,2.000000
0.750764,0.456794,0.596277,0.559557,0.351448,0.902935,1,2.000000
0.750208,0.053070,0.000000,0.560417,0.351533,0.894352,1,2.000000
0.750208,0.052792,0.000000,0.556562,0.351448,0.891424,1,2.000000
0.750208,0.052792,0.000000,0.554289,0.351193,0.890920,1,2.000000
0.750208,0.053070,0.000000,0.553807,0.351107,0.891222,1,2.000000
0.750208,0.053070,0.000000,0.554117,0.351193,0.891559,1,2.000000
0.893026,0.946652,0.502084,0.414727,0.630920,0.421177,1,1.000000
0.871909,0.995276,0.445957,0.414865,0.630664,0.421648,1,1.000000
0.859405,0.051403,0.382051,0.365946,0.544123,0.449818,1,1.000000
0.864963,0.112253,0.312309,0.366118,0.543952,0.450256,1,1.000000
0.885246,0.160322,0.255071,0.366290,0.543782,0.450727,1,1.000000
0.915254,0.192553,0.212837,0.366497,0.543612,0.451165,1,1.000000
0.949986,0.212837,0.181161,0.366669,0.543356,0.451602,1,1.000000
0.987497,0.225063,0.155877,0.366876,0.543186,0.452040,1,1.000000
0.026118,0.231453,0.133093,0.367048,0.543015,0.452477,1,1.000000
0.065296,0.232009,0.110308,0.367254,0.542845,0.452915,1,1.000000
0.104196,0.225618,0.083912,0.367426,0.542589,0.453352,1,1.000000
0.141428,0.207836,0.048347,0.367633,0.542419,0.453790,1,1.000000
0.173381,0.166157,0.990553,0.367805,0.542249,0.454227,1,1.000000
0.190886,0.079467,0.888302,0.367977,0.542078,0.454665,1,1.000000
0.181161,0.981106,0.774104,0.368184,0.541823,0.455102,1,1.000000
0.152265,0.927480,0.704362,0.368356,0.541652,0.455540,1,1.000000
0.116421,0.904140,0.664073,0.368562,0.541482,0.455977,1,1.000000
0.078077,0.894971,0.636010,0.368735,0.541312,0.456415,1,1.000000
0.039178,0.893582,0.612670,0.368907,0.541056,0.456852,1,1.000000
0.000556,0.898027,0.590442,0.369113,0.540886,0.457290,1,1.000000
0.963045,0.907752,0.566546,0.369285,0.540716,0.457728,1,1.000000
0.927480,0.924701,0.537927,0.369492,0.540545,0.458131,1,1.000000
0.896082,0.951375,0.500973,0.369664,0.540375,0.458569,1,1.000000
0.871631,0.992220,0.450959,0.369836,0.540119,0.459006,1,1.000000
0.859683,0.047513,0.386496,0.370043,0.539949,0.459444,1,1.000000
0.863851,0.107252,0.317866,0.370215,0.539779,0.459882,1,1.000000
0.882467,0.155877,0.260350,0.370387,0.539608,0.460319,1,1.000000
0.910809,0.188941,0.217560,0.370593,0.539353,0.460757,1,1.000000
0.944429,0.210336,0.185607,0.370766,0.539182,0.461160,1,1.000000
0.980828,0.223395,0.160044,0.370938,0.539012,0.461598,1,1.000000
0.018338,0.230620,0.137538,0.371144,0.538842,0.462036,1,1.000000
0.056960,0.232287,0.115310,0.371316,0.538671,0.462473,1,1.000000
0.095026,0.228119,0.090859,0.371489,0.538416,0.462877,1,1.000000
0.131981,0.214226,0.059183,0.371695,0.538245,0.463314,1,1.000000
0.165324,0.181717,0.010558,0.371867,0.538075,0.463752,1,1.000000
0.188108,0.110864,0.924701,0.372039,0.537905,0.464190,1,1.000000
0.187274,0.009169,0.807724,0.372246,0.537734,0.464593,1,1.000000
0.163657,0.941650,0.724368,0.372418,0.537479,0.465031,1,1.000000
0.130314,0.910531,0.677133,0.372590,0.537308,0.465468,1,1.000000
0.093359,0.897472,0.646013,0.372762,0.537138,0.465872,1,1.000000
0.055293,0.893304,0.622117,0.372969,0.536968,0.466310,1,1.000000
0.017227,0.895249,0.600167,0.373141,0.536797,0.466747,1,1.000000
0.980272,0.902473,0.577938,0.373313,0.536627,0.467151,1,1.000000
0.944429,0.915532,0.552653,0.373485,0.536371,0.467589,1,1.000000
0.916921,0.934982,0.512642,0.464610,0.442334,0.440596,1,1.000000
0.895527,0.963879,0.467074,0.464679,0.442249,0.441068,1,1.000000
0.881078,0.993887,0.423729,0.449979,0.396934,0.514405,1,1.000000
0.874132,0.030564,0.373159,0.450083,0.396848,0.514775,1,1.000000
0.876077,0.069464,0.320922,0.450186,0.396848,0.515179,1,1.000000
0.886357,0.104196,0.272576,0.450289,0.396763,0.515549,1,1.000000
0.903584,0.131425,0.231175,0.450392,0.396763,0.515920,1,1.000000
0.924979,0.151153,0.196443,0.450496,0.396678,0.516290,1,1.000000
0.949430,0.164212,0.166713,0.450599,0.396678,0.516660,1,1.000000
0.975827,0.172270,0.140039,0.450702,0.396593,0.517030,1,1.000000
0.002501,0.175604,0.115310,0.450806,0.396593,0.517434,1,1.000000
0.029730,0.174771,0.090581,0.450909,0.396508,0.517804,1,1.000000
0.056682,0.169492,0.064740,0.451012,0.396422,0.518174,1,1.000000
0.081967,0.158655,0.035843,0.451115,0.396422,0.518545,1,1.000000
0.105029,0.141428,0.001667,0.451219,0.396337,0.518915,1,1.000000
0.124201,0.115588,0.960267,0.451322,0.396337,0.519285,1,1.000000
0.136705,0.080300,0.909975,0.451425,0.396252,0.519655,1,1.000000
0.140872,0.038344,0.853570,0.451529,0.396252,0.520026,1,1.000000
0.135315,0.997777,0.797722,0.451632,0.396167,0.520396,1,1.000000
0.121423,0.963879,0.748819,0.451735,0.396167,0.520766,1,1.000000
0.101695,0.939428,0.708808,0.451838,0.396082,0.521136,1,1.000000
0.078355,0.923312,0.675743,0.451942,0.396082,0.521506,1,1.000000
0.053070,0.913587,0.647402,0.452045,0.395997,0.521877,1,1.000000
0.026396,0.909141,0.622117,0.452148,0.395997,0.522247,1,1.000000
0.999722,0.908586,0.597944,0.452251,0.395911,0.522617,1,1.000000
0.973048,0.912476,0.573215,0.452355,0.395911,0.522987,1,1.000000
0.947485,0.920811,0.547096,0.452458,0.395826,0.523358,1,1.000000
0.923590,0.934148,0.517644,0.452561,0.395826,0.523728,1,1.000000
0.902751,0.953598,0.483190,0.452665,0.395741,0.524098,1,1.000000
0.886357,0.980550,0.442623,0.452768,0.395656,0.524468,1,1.000000
0.876077,0.014171,0.395388,0.452871,0.395656,0.524838,1,1.000000
0.874132,0.051959,0.344540,0.452940,0.395571,0.525209,1,1.000000
0.880522,0.088080,0.295082,0.453043,0.395571,0.525579,1,1.000000
0.894137,0.118366,0.251459,0.453147,0.395486,0.525915,1,1.000000
0.913031,0.141428,0.214226,0.453250,0.395486,0.526286,1,1.000000
0.935538,0.157544,0.182829,0.453353,0.395400,0.526656,1,1.000000
0.959989,0.168102,0.155599,0.453456,0.395400,0.527026,1,1.000000
0.986107,0.173937,0.130592,0.453560,0.395315,0.527396,1,1.000000
0.012226,0.175882,0.106696,0.453663,0.395315,0.527767,1,1.000000
0.038622,0.173381,0.082523,0.453766,0.395230,0.528103,1,1.000000
0.064462,0.166713,0.056405,0.453869,0.395230,0.528473,1,1.000000
0.088636,0.154765,0.026952,0.453973,0.395145,0.528844,1,1.000000
0.110308,0.135871,0.992498,0.454076,0.395145,0.529214,1,1.000000
0.127535,0.108641,0.949986,0.454179,0.395060,0.529584,1,1.000000
0.138372,0.072798,0.899694,0.454283,0.395060,0.529921,1,1.000000
0.140595,0.031675,0.844123,0.454351,0.394974,0.530291,1,1.000000
0.133926,0.992498,0.790497,0.454455,0.394974,0.530661,1,1.000000
0.119755,0.960822,0.744096,0.454558,0.394889,0.531031,1,1.000000
0.100028,0.938038,0.705752,0.454661,0.394889,0.531368,1,1.000000
0.074187,0.933593,0.691581,0.376067,0.361584,0.619447,1,1.000000
0.048347,0.927202,0.674076,0.376274,0.361584,0.619716,1,1.000000
0.021951,0.924146,0.658238,0.376446,0.361584,0.619985,1,1.000000
0.995832,0.923590,0.642956,0.376618,0.361584,0.620288,1,1.000000
0.969436,0.925813,0.627397,0.376790,0.361584,0.620557,1,1.000000
0.943595,0.930536,0.611003,0.376962,0.361584,0.620827,1,1.000000
0.918311,0.938872,0.592387,0.377134,0.361584,0.621096,1,1.000000
0.894137,0.951653,0.570158,0.377341,0.361584,0.621365,1,1.000000
0.872187,0.971103,0.542095,0.377513,0.361499,0.621634,1,1.000000
0.853293,0.999444,0.505140,0.377685,0.361499,0.621904,1,1.000000
0.840233,0.039178,0.457349,0.377857,0.361499,0.622173,1,1.000000
0.834954,0.088358,0.400111,0.378029,0.361499,0.622442,1,1.000000
0.839400,0.138372,0.342317,0.378202,0.361499,0.622711,1,1.000000
0.851903,0.178939,0.293693,0.378374,0.361499,0.622981,1,1.000000
0.870242,0.208113,0.256182,0.378580,0.361499,0.623250,1,1.000000
0.891914,0.228119,0.227563,0.378752,0.361499,0.623519,1,1.000000
0.915810,0.241178,0.205057,0.378925,0.361414,0.623788,1,1.000000
0.940539,0.249792,0.186163,0.379097,0.361414,0.624058,1,1.000000
0.966102,0.255071,0.169769,0.379269,0.361414,0.624327,1,1.000000
0.992220,0.257572,0.154487,0.379441,0.361414,0.624596,1,1.000000
