xbegin,ybegin,zbegin,xdif,ydif,zdif,number
0,357,215,-5640,-668,-80009,4
4,10,357,-56438,-3721,-77131,6
306,274,270,-240604,-6295,4608,2
315,74,40,60487,-6658,-7003,6
0,357,215,-11438,-574,-160007,4
39,277,126,-64976,-4204,-5902,6
63,92,90,160376,13213,12821,5
328,315,296,18987,42697,-114976,4
3,9,159,-67579,1762,-36442,2
4,64,347,9159,6847,36401,3
307,89,90,133790,-8581,5333,6
287,30,88,36422,235686,-251922,5
0,359,142,4308,-5379,-133774,6
52,70,300,102319,-182166,-232233,5
84,266,268,-9308,26651,27070,5
339,138,141,195043,-23414,143967,6
358,352,268,-6300,134,16196,6
354,317,338,-89828,-7970,-20567,5
354,258,271,-66228,-8432,26187,2
283,106,346,-17539,-97375,99725,2
358,352,268,-17,236,9804,6
84,322,186,-14523,-1007266,1014998,1
30,88,87,130377,86341,106046,5
330,176,179,145565,-90688,-3423744,3
0,3,177,-5418,-1783,-9757,4
19,201,220,-138252,24099,201437,3
273,76,106,-2720,137789,-137459,2
17,34,355,-15925,-2484,3642,3
0,3,176,-3324,568,5276,4
12,317,93,-202554,-4873,-85678,1
6,90,88,-16122,-3543,-42389,3
345,240,49,-35460,-20199,101169,5
359,1,288,2119,1173,-80176,3
356,266,324,-28805,-6718,79204,1
18,271,270,-160343,-2443,-4800,6
330,341,139,4134,52868,-115046,6
359,1,288,6750,2584,-240499,1
322,57,283,104058,58787,-143056,5
321,89,89,79579,-5873,12058,5
12,213,343,-39911,29030,68556,1
0,0,155,-1621,-487,-101750,3
343,349,163,220437,-96450,-164863,3
294,89,90,102835,4867,-5871,5
352,302,199,82578,31045,393435,1
358,356,158,-36911,-15719,-83406,3
356,325,222,48106,9718,-318682,4
86,93,92,-91032,-1804624,-1805821,5
15,299,35,-268868,7467,-176241,3
0,321,6,-43349,46291,-139485,3
67,184,183,-35789,342371,385500,1
79,51,89,-230377,-1417298,-1489712,6
35,302,256,-45919,-252,-1530,2
0,321,5,-66996,67685,-287195,2
317,15,335,10691,49197,-63891,5
281,81,97,204766,35999,-35555,1
342,206,32,77905,16591,91892,4
359,4,119,11431,-3106,-320610,3
2,139,26,51659,3809,44079,5
331,94,89,80149,-1900,3502,6
345,306,237,-116903,12315,-40130,5
359,4,118,9033,-2112,-240449,6
12,49,308,-28001,-31078,-149353,1
6,266,270,-80095,-209,3892,2
53,167,324,31147,-3353814,273091,2
0,359,81,2769,3270,-110475,6
337,297,330,-28370,13542,4945,2
20,89,89,297891,-5465,-10262,6
354,50,59,159570,-7022,-49259,4
359,0,51,4965,988,-80055,3
15,324,124,-66395,-4247,-45756,6
352,270,269,-16016,-481,-1508,6
349,288,359,3843,156,-384,3
0,359,358,-10085,3373,-105170,4
326,338,198,-8527,111962,193994,4
88,277,277,-148267,-79606,-78982,1
354,36,2,61836,-4081,-50756,5
359,359,6,-9704,3608,-135854,4
308,336,68,-251322,936757,-1076129,1
302,270,270,-160413,976,-2321,5
27,130,281,63352,-30349,-18330,5
0,2,76,9637,-2175,-229527,1
356,329,354,60736,752,69806,3
20,92,90,399700,25763,44390,1
71,38,4,82699,-758275,-793868,5
359,2,90,11025,-3306,-144314,1
355,311,81,-292034,-60156,169168,6
8,267,269,-414278,-12014,21034,1
19,359,160,-31840,-546,-42189,3
1,2,121,13833,-10257,-159909,4
11,105,23,5598,-171022,239817,5
305,93,89,152683,-18668,21579,2
24,309,282,-209689,-73768,-221574,4
0,3,134,6853,-1038,-79918,1
4,51,355,115524,4747,16226,4
29,268,271,-80091,3285,4088,5
60,191,302,14156,39081,45710,5
1,1,175,-8967,277,12833,4
33,355,94,-118740,-110324,-219655,3
274,78,102,-13945,102682,-102782,2
9,50,27,39021,-60617,-145363,1
1,1,175,-11648,125,10808,4
22,342,132,-169973,7550,-168935,4
85,274,273,19031,396774,397671,5
7,303,20,-111673,-14076,-114876,4
355,353,233,-345303,251701,602633,1
328,118,90,373333,-44279,174464,3
331,268,269,-198960,-27301,32664,5
305,44,88,81795,25320,-33910,5
0,358,241,-22847,-4306,-199304,3
1,333,154,-126974,6112,-101808,5
26,88,89,114631,159,-102,6
20,211,6,-159736,-8920,-13981,4
0,1,259,5874,-8791,17154,6
60,332,296,14424,-312035,-335587,3
346,270,268,-31439,-13081,-21454,6
341,281,229,-56347,33912,-103241,3
0,1,257,12121,-13333,-18246,6
30,82,321,190114,-90302,-190777,5
13,92,90,44786,-15903,-2619,1
