xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2842,1575,2243,1,-68,1861,44,2
2834,1657,2158,85,-75,1903,45,2
2829,1749,2062,167,-88,1960,46,2
2826,1850,1958,247,-86,2017,47,2
2827,1957,1847,315,-78,2108,48,2
2826,2021,1779,519,-142,1196,49,2
2822,2062,1735,714,-107,590,50,2
255,930,900,37,-3,694,137,1
246,930,899,39,-1,763,138,1
236,930,899,44,-2,835,139,1
226,930,899,48,-4,909,140,1
215,930,899,51,-2,988,141,1
202,930,899,57,-3,1069,142,1
189,930,899,61,-4,1156,143,1
175,930,899,65,-3,1246,144,1
159,930,899,70,-5,1341,145,1
143,929,899,75,-5,1439,146,1
125,929,899,80,-5,1545,147,1
106,929,899,87,-7,1652,148,1
86,929,899,91,-5,1769,149,1
64,929,899,100,-10,1886,150,1
41,929,899,103,-4,2017,151,1
16,929,899,114,-17,2140,152,1
3585,929,899,8,-10,776,154,1
3574,929,899,18,-1,435,156,1
3571,929,899,19,-2,295,157,1
3569,929,899,12,-1,156,158,1
3599,3560,920,2,-2,355,146,1
3589,2724,2700,44,-2,992,129,6
0,62,801,1,-10,288,122,1
0,62,806,34,-6,407,123,1
0,62,812,58,-2,525,124,1
0,62,820,74,-2,646,125,1
0,62,828,85,-3,770,126,1
0,62,851,114,-1,1027,128,1
0,62,864,127,-5,1157,129,1
0,62,895,148,-10,1400,131,1
2723,1541,903,758,-1,360,96,2
2702,1536,909,778,-8,380,98,2
2701,3257,2787,240,-13,140,99,2
2701,3236,2808,6,-1,12,100,2
150,1611,936,29,-3,94,118,1
148,1611,933,67,-5,212,119,1
146,1610,930,105,-5,331,120,1
143,1609,926,142,-3,451,121,1
119,1602,899,522,-49,670,125,1
109,1601,897,828,-46,490,126,1
83,1601,897,1101,-13,356,128,1
69,1601,898,1217,-8,303,129,1
35,1601,900,1463,-2,496,131,1
3599,1601,900,1359,-8,494,133,1
3592,1601,899,507,-5,203,134,1
0,1601,899,28,-1,1,144,1
0,3570,1823,2,-1,286,125,4
0,3570,1799,19,-8,21,134,4
2870,360,3498,232,-5,160,126,2
2870,346,3512,216,-15,283,127,2
2869,329,3529,198,-19,404,128,2
