xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2816,2107,1689,861,35,467,51,2
2809,2152,1644,899,41,349,52,2
2802,2199,1597,923,33,242,53,2
2795,2248,1547,967,15,124,54,2
2787,2302,1493,1018,22,11,55,2
2706,1346,2444,12,4,309,69,2
2702,1644,2146,152,3,336,70,2
2700,191,0,177,4,81,71,2
305,930,899,0,0,11,125,1
305,930,899,3,0,63,126,1
303,930,899,6,0,115,127,1
301,930,899,8,0,167,128,1
299,930,899,11,0,220,129,1
296,930,899,14,0,274,130,1
292,930,899,17,0,329,131,1
287,930,899,20,0,385,132,1
282,930,899,23,0,443,133,1
277,930,899,27,0,503,134,1
270,930,899,31,0,564,135,1
263,930,899,34,0,628,136,1
3595,929,899,97,0,1879,153,1
3579,929,899,26,12,579,155,1
3569,929,899,2,0,16,159,1
0,929,900,10,5,69,168,1
69,460,898,293,0,10,219,1
69,461,900,79,12,58,220,1
302,644,2562,52,35,270,116,6
299,646,2565,110,37,329,117,6
296,648,2570,169,38,389,118,6
292,651,2575,228,37,450,119,6
288,655,2581,288,35,512,120,6
284,659,2588,348,40,577,121,6
279,663,2597,409,42,644,122,6
274,668,2606,471,43,712,123,6
268,673,2616,536,46,783,124,6
261,679,2627,601,45,854,125,6
254,684,2640,669,40,927,126,6
247,691,2653,741,40,1008,127,6
238,697,2667,812,34,1084,128,6
229,703,2683,891,28,1169,129,6
219,710,2697,780,48,1232,130,6
205,713,2705,168,65,1339,131,6
3585,717,2699,2,1,103,145,6
3545,2724,2700,5,0,177,123,6
3548,2724,2700,13,0,309,124,6
3553,2724,2700,19,0,443,125,6
3560,2724,2700,25,0,577,126,6
3568,2724,2700,31,0,713,127,6
3578,2724,2700,40,0,852,128,6
3598,2724,2700,17,10,750,130,6
0,62,839,98,3,898,127,1
0,62,879,140,1,1296,130,1
3599,62,903,50,0,111,133,1
0,62,899,1,0,9,138,1
2757,1543,901,32,1,13,90,2
2755,1543,901,150,0,71,91,2
2752,1543,901,269,0,129,92,2
2747,1543,901,389,0,186,93,2
2741,1543,902,511,0,244,94,2
2733,1542,902,633,0,302,95,2
2712,1540,905,885,1,422,97,2
138,1607,920,179,1,572,122,1
133,1606,913,216,4,693,123,1
128,1604,905,258,2,820,124,1
96,1601,896,983,26,432,127,1
53,1601,899,1344,2,388,130,1
16,1601,900,1586,0,580,132,1
3589,1601,899,261,1,94,135,1
3588,1601,899,124,2,42,136,1
0,1601,899,47,0,3,143,1
3599,3570,1820,16,0,420,124,4
2869,370,3487,242,10,42,125,2
3599,100,3522,19,0,104,248,3
