xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
1,6,603,-190,-97,-12146,2,1
1,5,464,-189,-97,-12134,3,1
0,3,325,-189,-97,-12122,4,1
3598,2,186,-189,-97,-12109,5,1
222,2709,2678,-2388,-28,-14510,0,5
56,2715,2702,-2385,-28,-14495,1,5
3489,2713,2725,-2383,-28,-14481,2,5
3323,2704,2751,-2380,-28,-14466,3,5
3446,906,919,-2239,-402,-14532,0,5
12,904,895,-2237,-402,-14518,1,5
179,895,869,-2235,-401,-14503,2,5
2816,2796,2605,-2457,-221,-17182,0,2
2782,960,838,-2454,-221,-17165,1,2
2980,973,822,-2452,-221,-17148,2,2
24,3586,2013,-2154,-34,-15163,0,4
3594,3583,1840,-2152,-34,-15148,1,4
3565,3589,1667,-2149,-34,-15133,2,4
526,2818,2726,-1614,-23,-12170,4,1
386,2808,2713,-1612,-22,-12158,5,1
3071,550,1829,-884,-974,-17289,0,2
3238,647,1678,-883,-973,-17272,1,2
3416,681,1579,-882,-972,-17254,2,2
3596,684,1496,-881,-971,-17237,3,2
174,659,1409,-880,-970,-17220,4,2
346,600,1300,-879,-969,-17203,5,2
3125,2812,1650,-278,-2235,-7653,0,2
3033,2799,1644,-633,-1589,-7805,1,2
2943,2795,1627,-632,-1588,-7797,2,2
2854,2799,1604,-631,-1586,-7790,3,2
2765,2841,1543,-631,-1585,-7782,4,2
2726,719,46,-630,-1583,-7774,5,2
3471,904,903,-257,-140,-19016,0,6
89,902,901,-257,-139,-18997,1,6
306,900,899,-257,-139,-18978,2,6
6,30,1949,-1412,-23,-16247,0,1
0,28,1763,-1410,-23,-16230,1,1
3593,29,1576,-1409,-22,-16214,2,1
3595,32,1428,-565,-148,-14445,3,1
3598,31,1262,-564,-148,-14431,4,1
0,29,1097,-564,-148,-14416,5,1
696,2879,2777,-2289,-111,-4283,1,2
24,70,601,-2518,-364,-6514,0,1
4,64,523,-2515,-364,-6508,1,1
3583,61,446,-2513,-363,-6501,2,1
3563,60,369,-2510,-363,-6495,3,1
3542,62,291,-2508,-363,-6488,4,1
3522,67,214,-2505,-362,-6482,5,1
3593,3583,2439,-47,-196,-16960,1,4
3587,3584,2245,-47,-196,-16943,2,4
3582,3587,2051,-47,-196,-16926,3,4
3578,3592,1857,-47,-195,-16909,4,4
3576,3597,1663,-47,-195,-16892,5,4
198,412,219,-544,-1836,-10271,0,3
266,349,114,-544,-1834,-10261,1,3
322,269,3595,-543,-1832,-10251,2,3
360,173,3460,-543,-1830,-10240,3,3
168,277,884,-3602,-4123,-10596,0,1
160,236,777,-4537,-539,-7626,1,1
148,207,678,-4532,-538,-7618,2,1
127,176,576,-4528,-538,-7611,3,1
102,150,475,-4523,-537,-7603,4,1
73,129,377,-4519,-537,-7595,5,1
3593,3583,2439,-47,-196,-16951,1,4
3587,3584,2245,-47,-196,-16934,2,4
3582,3587,2051,-47,-196,-16917,3,4
3578,3592,1858,-47,-195,-16900,4,4
3576,3597,1664,-47,-195,-16883,5,4
3589,45,1758,-6153,-56,-4901,1,2
3361,2996,2563,-6990,-70,-8818,0,1
3234,2983,2587,-6983,-70,-8809,1,1
3108,2959,2621,-6976,-70,-8800,2,1
2983,2910,2679,-6969,-70,-8792,3,1
2865,2784,2814,-6963,-69,-8783,4,1
2783,2293,3314,-6956,-69,-8774,5,1
3257,914,918,-1614,-100,-3796,0,1
3299,923,902,-1366,-5,-3577,1,1
3340,930,886,-1364,-5,-3573,2,1
3382,936,872,-1363,-5,-3570,3,1
3424,940,858,-1361,-5,-3566,4,1
3466,944,845,-1360,-5,-3563,5,1
26,66,960,-4061,-102,-11248,0,1
3594,62,827,-4057,-102,-11236,1,1
3590,61,756,-1082,-81,-7148,2,1
3588,61,682,-1081,-81,-7140,3,1
3585,62,599,-1079,-81,-7133,4,1
3581,63,517,-1078,-81,-7126,5,1
3541,597,995,-432,-1320,-9537,0,6
33,583,933,-431,-1319,-9527,1,6
77,573,882,-964,-139,-5195,2,6
107,566,855,-670,-31,-3649,3,6
136,560,827,-670,-31,-3645,4,6
166,551,796,-669,-31,-3642,5,6
3499,2579,2638,-3414,-1005,-2787,0,3
3484,2563,2695,-4036,-572,-2145,1,3
3480,2551,2729,-2793,-302,-968,2,3
3482,2543,2760,-2613,-139,-585,3,3
3484,2536,2790,-2528,-83,-542,4,3
3486,2529,2819,-2460,-51,-502,5,3
0,3598,3520,-617,-75,-25775,0,6
